Timestamp,What is your gender?,Which class are you enrolled in?,What school year are you in?,What is your sexual orientation?,How many minutes on average is your roundtrip commute to school daily?,What general time frames are your classes in? Select all that apply.,How many days of the week do you have classes?,How many hours do you work/volunteer in a week?,Does your job significantly affect your school life?,How are you paying for college?,How many units are you taking this quarter?,Do you attend in person lectures through zoom?,Do you watch lecture recordings?,What speed do you watch lecture recordings at?,Pineapple on pizza?,How long do you usually sleep per day?,How many clubs or organizations are you currently in?,How many times a week do you visit the Student Recreation Center?,How long do you spend at the SRC each visit?,Have you ever considered using resources targeted towards mental health?,How has your mood been since the start of the quarter?,How was your mood during the previous quarter?,Do you feel like you’re doing better in your in person classes compared to your online classes during the last school year?,What is your opinion on participation credit in your classes?,How much do you agree with the following statement? “More people participated in class before COVID than now.” Only answer if,How much do you agree with the following statement? “My parents influence my decision to go to college.”,How much do you agree with the following statement? “I eat out more than I eat homemade food.”,How much do you agree with the following statement? “I spend more time studying than I do on my hobbies.”,Do you feel like you are mentally present in your in person classes?,How are your grades in the classes you’re currently taking?,Do you think UCR has dedicated enough resources to student’s mental health?,How many days a week during quarantine did you feel your mental health significantly declined?,Do you think our politicians as a whole are focusing enough on climate change?,"To what extent do you believe the effects of climate change, if left unaddressed, will impact our planet?",How many days in a month do you recycle?,What is your work status?,How old are you?,How many times per week do you participate in your classes?,,,What kind of Apple devices do you have?,"On average, how many hours do you spend time on homework per week?",What is your current GPA?,,"On average, how many hours do you study per week?","Rate your stress levels this quarter. 1 being not stressed, 5 being the most stressed.",What is your GPA coming into this quarter,What was your GPA in your last quarter / semester,How many minutes on average is your roundtrip commute to school daily?,How many internships have you applied to within the last month?,How long do you stay at the Student Recreation Center on average each visit?,"On average, how many hours do you spend time on your hobbies per week?"
10/26/2021 11:37:04,Male,CS 105,Senior,Gay,,"Morning, Afternoon",4,0,Does not apply to me,My parents/relatives are paying for me,16,Sometimes,Yes,1.25,Yes,8,0,0,,Yes,1,1,1,1,,1,4,,1,2,3,7,1,5,1-7,I don't work,26,0,,,"iPhone, iPad, Macbook (Air/Pro)",6,2.5 - 2.9,,10,5,,,1hr+,0,0,2
10/26/2021 11:40:32,Male,CS 105,Senior,Prefer not to answer,,"Morning, Afternoon",5,0,Does not apply to me,Loan,12,Yes,Yes,1,Yes,6,0,0,,Yes,2,1,3,3,,4,1,,2,3,3,4,3,1,8-15,I don't work,23,3,,,None,8,3.0 - 3.4,,3,5,,,1hr+,0,0,20
10/26/2021 12:01:31,Female,CS 105,Senior,Straight,,"Morning, Afternoon",5,4,No,Scholarship,12,No,Yes,2x,Yes,8 hours,3,0,,Yes,4,2,3,2,,1,1,,5,4,2,7,1,4,1-7,Student Orgs/Volunteer Regulary,21,5,,,None,20,3.5 - 4.0,,4,5,,,21min - 40min,0,0,10
10/26/2021 12:25:17,Male,CS 105,Junior,Straight,,"Morning, Afternoon, Evening",5,2,Does not apply to me,My parents/relatives are paying for me,17,Sometimes,No,1.25,Yes,7,2,2,,Yes,2,3,2,1,,3,2,,2,2,2,2,3,2,1-7,Student Orgs/Volunteer Regulary,20,4,,,"iPhone, Apple Watch, Macbook (Air/Pro), Mac(iMac, Mac Pro, Mac Mini)",12,3.0 - 3.4,,8,4,,,1min - 20min,0,45min - 1hr,8
10/26/2021 13:32:07,Male,CS 105,Senior,Straight,,"Morning, Afternoon",5,0,Does not apply to me,Scholarship,12,Sometimes,Yes,1.5x,No,6 hours,1,0,,Yes,2,3,1,1,,4,3,,2,3,2,7,1,5,1-7,I don't work,21,3,,,None,6,3.5 - 4.0,,3,5,,,1min - 20min,0,0,12
10/26/2021 15:48:34,Male,CS 111,Junior,Straight,,"Morning, Afternoon",5,20,Yes,My parents/relatives are paying for me,13,Sometimes,Yes,x1,Yes,7,1,4,,Yes,3,4,4,5,,2,3,,4,3,4,3,2,5,1-7,Part-time,22,everytime,,,"iPhone, iPad",10,2.5 - 2.9,,5,3,,,21min - 40min,0,1 - 2hrs,10
10/26/2021 15:49:24,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",5,0,Does not apply to me,My parents/relatives are paying for me,17,Sometimes,Yes,1.5,Yes,7,2,2,,No,3,4,4,5,,4,3,,5,3,3,0,3,5,1-7,I don't work,19,5,,,None,4,3.5 - 4.0,,8,2,,,21min - 40min,0,45min - 1hr,10
10/26/2021 15:49:46,Male,CS 111,Sophomore,Bisexual,,"Morning, Afternoon",5,0,Does not apply to me,Scholarship,16,No,No,1,Yes,6 hours,0,0,,No,3,4,5,3,,3,1,,3,3,4,2,2,5,1-7,I don't work,19,8,,,None,10,3.5 - 4.0,,5,4,,,1min - 20min,5,31min - 45min,30
10/26/2021 15:50:31,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",5,0,Does not apply to me,My parents/relatives are paying for me,16,No,Yes,1.5,Yes,8-9 hours,2,0,,Yes,4,4,4,2,,3,2,,3,4,4,0.5,2,5,1-7,I don't work,19,Depends what you mean by participate,,,iPhone,20,3.5 - 4.0,,10,4,,,Live on Campus,0,0,10
10/26/2021 15:50:32,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",5,5,No,I pay myself,16,No,Yes,1.25,Yes,7,2,3,,No,3,4,5,5,,3,1,,4,3,5,1,3,3,1-7,Part-time,19,5,,,None,5,2.5 - 2.9,,15,3,,,Live on Campus,5,1 - 2hrs,3
10/26/2021 15:50:37,Male,CS 111,Junior,Straight,,"Morning, Afternoon",5,n/a,Does not apply to me,My parents/relatives are paying for me,12,Sometimes,Yes,2,Yes,8-10 hours,3,3,,Yes,2,1,3,4,,4,3,,3,2,1,7,3,3,1-7,I don't work,20,6,,,iPad,20,3.0 - 3.4,,20,5,,,Live on Campus,3,1 - 2hrs,6
10/26/2021 15:51:09,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",5,~35,Yes,I pay myself,19,No,Yes,1.25 or 1.5,No,~6,0,3,,No,3,3,4,4,,4,1,,4,4,3,1,1,4,1-7,Full time,18,10,,,None,~15,3.5 - 4.0,,~15,4,,,21min - 40min,2,45min - 1hr,~2
10/26/2021 15:51:15,Female,CS 111,Junior,Other,,"Morning, Afternoon",5,1,Does not apply to me,My parents/relatives are paying for me,17,No,Yes,2x,No,5-6 hours ,0,0,,Yes,2,1,2,3,,5,5,,1,2,2,7,1,5,8-15,Student Orgs/Volunteer Regulary,21,4,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod)",6,2.5 - 2.9,,5,5,,,21min - 40min,0,0,10
10/26/2021 15:51:25,Male,CS 111,Junior,Straight,,Morning,4,0,Does not apply to me,My parents/relatives are paying for me,12,Sometimes,Yes,1.25x,No,5 hours ,0,0,,No,4,4,2,4,,1,2,,3,3,2,0,1,5,1-7,I don't work,19,4,,,None,10,3.5 - 4.0,,2,3,,,Live on Campus,0,0,2
10/26/2021 15:51:27,Male,CS 111,Junior,Straight,,"Afternoon, Evening",4,N/A,Does not apply to me,Grants/Loan/Relatives,8,No,Yes,1x,Yes,6-8 hours,2,0,,No,3,1,4,3,,5,2,,3,3,4,5,2,5,1-7,I don't work,23,2,,,"iPad, Macbook (Air/Pro)",10,1.5 - 1.9,,5,2,,,41min - 1hr,0,0,40
10/26/2021 15:51:29,Male,CS 111,Sophomore,Straight,,Evening,2,0,Does not apply to me,My parents/relatives are paying for me,13,No,Yes,1.25,No,6-7 hours,0,1,,No,3,4,2,1,,4,1,,2,2,3,None,1,5,24-30,I don't work,19,Idk,,,None,Not sure,3.5 - 4.0,,Not sure,4,,,21min - 40min,0,16min - 30min,Not sure 
10/26/2021 15:51:33,Female,CS 111,Junior,Straight,,"Morning, Afternoon",5,0,Does not apply to me,half parents/ half myself,16,Sometimes,Yes,1.5,No,6,0,0,,Yes,2,3,1,1,,4,4,,2,3,2,7,2,5,1-7,I don't work,20,0,,,"iPhone, iPad, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",10,3.0 - 3.4,,4,5,,,21min - 40min,10,0,2
10/26/2021 15:51:40,Male,CS 111,Junior,Straight,,"Morning, Afternoon, Evening",3,0,Does not apply to me,Combination of parent's and my own money,16.5,Sometimes,Yes,1.5x,No,"Irregular, 6-10 hrs",2,5+,,No,4,4,5,3,,4,2,,4,4,3,1?,1,5,1-7,I don't work,24,1-2?,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod)",10,3.5 - 4.0,,20,4,,,21min - 40min,1,1 - 2hrs,20
10/26/2021 15:52:03,Male,CS 111,Sophomore,Straight,,Afternoon,2,10-12,Yes,Loan,18,Sometimes,No,N/A,No,5-9,3,2,,Yes,3,4,3,2,,3,2,,1,3,4,0,1,1,0,Part-time,19,0-2,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",3-4,3.5 - 4.0,,5-10,4,,,Live on Campus,0,16min - 30min,10-20
10/26/2021 15:52:15,Male,CS 111,Junior,Straight,,"Afternoon, Evening",4,0,No,My parents/relatives are paying for me,13,Sometimes,Yes,Depends on how slow they talk,Yes,8hrs,0,1,,No,2,3,3,3,,4,2,,2,3,3,2,1,5,1-7,I don't work,20,Occasionally,,,iPhone,2,3.0 - 3.4,,6,4,,,Live on Campus,10,16min - 30min,6
